paper_id,level,consensus,count
C1000,L1,all_correct,10
C1000,L2,all_correct,10
C1000,L3,all_correct,10
C1000,L4,all_correct,10
C1000,L5,all_correct,10
C1001,L1,all_correct,10
C1001,L2,all_correct,10
C1001,L3,all_correct,10
C1001,L4,all_correct,10
C1001,L5,all_correct,10
C1002,L1,all_correct,10
C1002,L2,all_correct,10
C1002,L3,all_correct,10
C1002,L4,all_correct,10
C1002,L5,all_correct,10
C1003,L1,majority_wrong,10
C1003,L2,all_wrong,10
C1003,L3,majority_wrong,10
C1003,L4,all_wrong,10
C1003,L5,all_wrong,5
C1003,L5,majority_wrong,5
C1004,L1,all_wrong,10
C1004,L2,all_wrong,10
C1004,L3,all_wrong,10
C1004,L4,all_wrong,10
C1004,L5,all_wrong,10
C1005,L1,all_correct,10
C1005,L2,all_correct,10
C1005,L3,all_correct,10
C1005,L4,majority_correct,10
C1005,L5,majority_wrong,10
C1007,L1,all_correct,10
C1007,L2,all_correct,10
C1007,L3,all_correct,10
C1007,L4,all_correct,10
C1007,L5,all_correct,10
C1008,L1,all_wrong,10
C1008,L2,all_wrong,10
C1008,L3,all_wrong,10
C1008,L4,majority_wrong,10
C1008,L5,majority_wrong,10
C1010,L1,majority_wrong,10
C1010,L2,majority_wrong,10
C1010,L3,majority_wrong,10
C1010,L4,majority_wrong,10
C1010,L5,majority_wrong,10
C1012,L1,all_wrong,10
C1012,L2,all_wrong,10
C1012,L3,all_wrong,10
C1012,L4,all_wrong,10
C1012,L5,all_wrong,10
C1013,L1,all_correct,2
C1013,L1,majority_correct,8
C1013,L2,majority_wrong,10
C1013,L3,majority_correct,1
C1013,L3,majority_wrong,9
C1013,L4,all_wrong,1
C1013,L4,majority_correct,2
C1013,L4,majority_wrong,7
C1013,L5,majority_correct,2
C1013,L5,majority_wrong,8
C1014,L1,all_correct,10
C1014,L2,all_correct,10
C1014,L3,all_correct,10
C1014,L4,all_correct,10
C1014,L5,all_correct,10
C1015,L1,all_wrong,10
C1015,L2,all_wrong,10
C1015,L3,all_wrong,10
C1015,L4,all_wrong,10
C1015,L5,all_wrong,10
C891,L1,majority_correct,10
C891,L2,all_correct,8
C891,L2,majority_correct,2
C891,L3,all_correct,3
C891,L3,majority_correct,7
C891,L4,all_correct,4
C891,L4,majority_correct,6
C891,L5,majority_correct,10
C892,L1,all_correct,3
C892,L1,majority_correct,7
C892,L2,majority_correct,10
C892,L3,majority_correct,10
C892,L4,majority_correct,10
C892,L5,majority_correct,10
C893,L1,majority_correct,10
C893,L2,all_correct,8
C893,L2,majority_correct,2
C893,L3,majority_correct,10
C893,L4,majority_correct,10
C893,L5,majority_correct,10
C894,L1,all_correct,10
C894,L2,all_correct,10
C894,L3,all_correct,10
C894,L4,all_correct,10
C894,L5,all_correct,10
C895,L1,all_correct,10
C895,L2,all_correct,7
C895,L2,majority_correct,3
C895,L3,all_correct,4
C895,L3,majority_correct,6
C895,L4,majority_correct,10
C895,L5,majority_correct,10
C896,L1,majority_correct,10
C896,L2,majority_correct,10
C896,L3,majority_correct,10
C896,L4,majority_correct,10
C896,L5,majority_correct,10
C897,L1,majority_correct,2
C897,L1,majority_wrong,8
C897,L2,majority_wrong,10
C897,L3,majority_correct,5
C897,L3,majority_wrong,5
C897,L4,majority_correct,10
C897,L5,majority_correct,10
C898,L1,all_correct,10
C898,L2,all_correct,10
C898,L3,all_correct,10
C898,L4,all_correct,10
C898,L5,all_correct,10
C899,L1,all_correct,10
C899,L2,all_correct,10
C899,L3,all_correct,10
C899,L4,all_correct,10
C899,L5,all_correct,10
C901,L1,all_correct,10
C901,L2,all_correct,5
C901,L2,majority_correct,5
C901,L3,all_correct,10
C901,L4,all_correct,10
C901,L5,all_correct,4
C901,L5,majority_correct,6
C903,L1,majority_wrong,10
C903,L2,majority_wrong,10
C903,L3,majority_wrong,10
C903,L4,majority_wrong,10
C903,L5,majority_wrong,10
C904,L1,all_correct,10
C904,L2,all_correct,10
C904,L3,all_correct,10
C904,L4,all_correct,9
C904,L4,majority_correct,1
C904,L5,all_correct,10
C905,L1,all_correct,10
C905,L2,all_correct,10
C905,L3,all_correct,10
C905,L4,all_correct,10
C905,L5,all_correct,10
C906,L1,all_correct,10
C906,L2,all_correct,10
C906,L3,all_correct,10
C906,L4,all_correct,10
C906,L5,all_correct,10
C907,L1,all_correct,10
C907,L2,all_correct,10
C907,L3,all_correct,10
C907,L4,all_correct,10
C907,L5,all_correct,10
C908,L1,all_correct,2
C908,L1,majority_correct,8
C908,L2,all_correct,2
